Feature 1,Feature 2,Oil Type
3.8128731,-0.6291021,PO C
3.6737108,-0.67454684,PO C
0.27512816,-1.6622443,PO C
1.372412,-1.7509844,PO C
8.669794,0.38645995,PO C
3.5268164,-1.8176167,PO C
10.368194,0.5258925,PO C
-3.3914158,-5.961297,PO C
3.4576025,-1.9845735,PO C
-10.956325,-6.71971,PO C
2.2826245,-2.5248013,PO C
2.556052,-2.25905,PO C
-17.073137,1.1062028,PO C
-16.70837,2.119646,PO C
-16.621443,1.8357333,PO C
-16.874926,1.0702006,PO C
-16.580242,1.3867028,PO C
-16.586266,1.2824976,PO C
-15.788184,1.6001481,PO C
-16.941671,1.8403138,PO C
-16.46239,1.1501311,PO C
-16.853096,1.4820566,PO C
7.90764,2.7971094,PO C
-16.22411,-1.4011773,PO C
-14.366431,-2.706838,PO C
-6.689505,-7.57552,PO C
-1.9315377,-4.4135976,PO C
-16.184494,-0.7375559,PO C
-14.119029,-1.019132,PO C
-12.3340025,-2.9755938,PO C
-16.593801,-0.34465227,PO C
-11.556378,3.3474393,PO C
-15.222327,-0.20229127,PO C
-15.284563,-0.7651275,PO C
-15.519673,0.64969295,PO C
-14.936789,0.41200417,PO C
-16.263432,1.0968751,PO C
-14.890607,-0.5225565,PO C
-14.694532,-0.9228928,PO C
-12.134936,-2.5594652,PO C
-15.034936,0.8515648,PO C
-14.954638,1.4285088,PO C
-0.95422703,-7.5130157,PO C
6.5251184,1.1004742,PO C
10.093358,1.58761,PO C
-0.43833414,-5.0596957,PO C
0.3999476,-2.2888806,PO C
5.066421,0.09570466,PO C
10.8352785,2.8662796,PO C
11.390876,3.4024212,PO C
4.1725755,0.30264583,PO C
2.5941541,-1.2769592,PO C
10.704243,2.8482058,PO C
10.701239,2.531451,PO C
10.602274,2.66904,PO C
0.777526,-8.874306,PO C
-10.176717,3.5145633,PO C
2.4983609,1.4889239,PO C
3.002383,0.28074285,PO C
4.937759,0.046577442,PO C
-11.987587,3.8350604,PO C
-12.103374,2.8164527,PO C
0.4287671,-0.7190298,PO C
0.97860295,-0.602312,PO C
-11.615778,2.3351512,PO C
-14.948164,1.6867771,PO C
-13.208249,2.6527069,PO C
0.49156123,-0.34515113,PO C
-5.8032374,-1.8412515,PO C
-9.1801815,2.9479587,PO C
1.0374434,-0.49215,PO C
-10.759354,2.5649722,PO C
-13.579089,1.6027725,PO C
-5.730052,-1.2095976,PO C
-9.170589,2.9459393,PO C
-6.0654597,-2.775054,PO C
0.29946843,-0.6708377,PO C
-8.9639015,4.060572,PO C
-7.8809485,-1.50326,PO C
-0.54726684,-0.53029996,PO C
-6.7919397,-3.0331008,PO C
-6.0494046,-1.4759341,PO C
2.837624,-0.48230463,PO C
3.048146,0.4597632,PO C
3.1813588,0.8307143,PO C
2.2556427,0.17358176,PO C
1.0190147,0.7770373,PO C
1.3693194,0.035133377,PO C
2.3239772,-0.7332078,PO C
1.4753227,0.001392151,PO C
0.71022743,0.30760658,PO C
1.101876,-0.30686468,PO C
2.2821712,0.010378098,PO C
1.9422495,0.40404436,PO C
1.8535143,-0.25514242,PO C
1.9591738,-0.14925158,PO C
2.6191049,-0.15087824,PO C
5.6043787,-1.2083943,PO C
1.4614832,-1.0894791,PO C
2.3242278,-0.30558875,PO C
1.744575,-0.08239647,PO C
3.235554,0.16445401,PO C
-11.776236,1.533767,SO C
-6.6825004,0.14328116,SO C
-11.953402,1.4034853,SO C
-5.7915792,0.31900242,SO C
-1.0190469,6.142353,SO C
-10.586157,0.5682247,SO C
8.403215,8.009479,SO C
-5.8549867,1.8643515,SO C
-6.726098,3.7630472,SO C
2.9538972,6.9831123,SO C
-6.9051867,-1.5057024,SO C
-3.8183055,-0.72097147,SO C
-1.730897,1.5551158,SO C
-6.9474597,2.0921187,SO C
0.44407842,4.824804,SO C
-6.982019,-2.4395902,SO C
-7.4665236,-0.011019588,SO C
-9.864365,-0.46285468,SO C
-6.549697,0.9411546,SO C
-2.8603446,1.6687642,SO C
-6.656472,-6.7424746,SO C
-6.756014,0.5368423,SO C
-8.817138,-6.1734023,SO C
-11.611742,-0.82473785,SO C
-13.122712,-0.44478932,SO C
-10.858335,0.67793083,SO C
-13.479172,-1.1716893,SO C
-14.600403,1.1546907,SO C
-14.17191,1.6632551,SO C
-14.087061,0.40997225,SO C
-13.62551,-0.9137977,SO C
-14.023496,1.3301482,SO C
-12.394515,0.042182278,SO C
-11.682189,-0.9022205,SO C
-14.598257,2.0862732,SO C
-9.693961,-2.8197474,SO C
-14.626788,0.35463402,SO C
-13.604616,0.64292127,SO C
-14.073135,1.2682841,SO C
-14.080114,1.5630968,SO C
-0.25110558,4.6894703,SO C
7.890954,8.954389,SO C
5.671662,6.694362,SO C
8.405175,11.031867,SO C
2.541364,9.437314,SO C
2.4035614,6.1217175,SO C
2.1167278,9.282069,SO C
2.5474558,6.3458905,SO C
8.012011,11.539768,SO C
8.633214,11.863164,SO C
8.801995,11.894709,SO C
8.494962,11.8912945,SO C
2.8245778,9.586406,SO C
2.3627844,9.402778,SO C
10.6603,13.077205,SO C
2.2446036,6.022492,SO C
1.6684959,5.339933,SO C
-1.3900874,5.550086,SO C
1.6799779,5.977137,SO C
2.7470384,9.777127,SO C
4.0666494,6.812294,SO C
-7.6357036,1.5521996,SO C
-2.2884278,-2.6486852,SO C
-2.788367,7.560012,SO C
7.351415,7.5094295,SO C
-0.89302135,5.214086,SO C
2.0987709,4.886767,SO C
-5.351808,1.2277147,SO C
-10.452825,1.8524457,SO C
1.6272607,4.922719,SO C
-12.6583185,2.5416334,SO C
-7.2930346,2.4041154,SO C
-11.258489,1.479307,SO C
-13.951166,1.7299414,SO C
-14.953297,1.4374357,SO C
-11.015958,2.7934306,SO C
-12.2099285,1.8544923,SO C
-11.858198,0.95097065,SO C
-13.436846,1.7435576,SO C
-13.27066,1.6169535,SO C
6.185705,9.536061,SO C
6.2882943,8.52453,SO C
5.9353743,7.0396996,SO C
8.154053,7.7218614,SO C
-3.135764,-0.10837366,SO C
