Oil_Type,Feature 1,Feature 2,Feature 3
SO,4.297698,-5.469398,7.8642054
SO,4.975943,-2.865663,2.809053
SO,4.7378817,-5.552519,7.9381557
SO,5.722756,-2.6329994,2.1857471
SO,3.953506,-5.163986,8.366656
SO,5.824517,-2.4532223,2.2922401
SO,3.63422,-5.3321905,8.140229
PO,-6.4671664,0.42784712,6.709242
PO,-6.4860387,0.7599355,6.4920616
PO,-6.2907233,0.5502641,6.5697026
PO,-6.4856143,0.7784468,6.5909715
PO,-6.4988294,0.8719971,6.447453
PO,-6.569806,0.8105263,6.519909
PO,-6.68925,0.5483748,6.4965544
PO,-6.569108,0.9025172,6.478629
PO,-6.3580117,0.8864029,6.5090795
PO,-6.674516,0.6929629,6.8073387
PO,-6.0502367,0.66456825,7.294529
PO,-6.072267,0.70629025,7.3294706
PO,-6.2712765,0.65242994,7.2679467
PO,-5.917548,0.74090546,7.0707583
PO,-6.071807,0.59089947,7.1137214
PO,-6.201783,0.95085984,7.188381
PO,-6.0067835,0.8466783,7.1608353
PO,-6.1242733,0.922571,7.198152
PO,-6.2727714,0.92422503,7.130194
PO,-6.049461,0.72133297,7.267442
PO,0.27380872,-13.599245,0.49029422
PO,0.58594126,-15.309367,-3.5818517
PO,-0.096990295,-14.764041,-1.4300723
PO,1.538629,-13.9015465,-1.9738402
PO,0.06895405,-14.327534,-0.3893026
PO,2.863966,-13.357984,-2.631514
PO,-0.36858535,-14.914237,-1.8279456
PO,0.3594975,-15.056605,-2.415104
PO,1.1825658,-13.831315,-0.690586
PO,0.5316381,-15.054629,-2.3698096
PO,2.5826082,-14.33421,-2.1975517
PO,-0.13556242,-13.030013,-0.66839075
PO,1.7724262,-14.949021,-1.1757455
PO,0.52394426,-14.9402,0.043726463
PO,0.58367753,-14.891738,-1.3487229
PO,1.1687229,-13.336407,0.4055932
PO,-1.9141465,-13.518212,-0.9699464
PO,-0.13894661,-13.615609,-0.53612226
PO,2.74852,-12.768602,-1.4186308
PO,-0.88449895,-13.967413,-1.3405145
PO,1.2986528,-15.873833,-3.1507223
PO,0.7636066,-16.074816,-1.7144731
PO,2.0755134,-14.523425,-2.94477
PO,-1.4092119,-14.212406,-1.3609921
PO,1.2584267,-15.3807,-2.6962683
PO,-0.6385288,-15.753766,-3.157629
PO,-0.4696191,-12.713834,0.06945894
PO,-2.0011156,-12.99191,-1.8962865
PO,1.2703444,-15.785089,-2.6269035
PO,1.5946834,-14.667525,-2.1623166
PO,1.6233464,-15.108358,-4.171909
PO,1.8543379,-15.508366,-1.6441514
PO,0.7938408,-11.787876,0.01975742
PO,0.37166896,-14.287198,-4.5674067
PO,-1.9841669,-14.170835,-2.6976178
PO,2.095263,-15.748691,-2.5554569
PO,-0.381191,-14.7973995,-3.7985609
PO,-0.74711454,-14.998592,-0.8619864
PO,0.86605,-12.512041,-0.35238743
PO,1.2016182,-15.554799,-1.1046833
PO,2.4145584,-13.848833,-1.427558
PO,0.2347475,-15.621782,-2.533397
PO,-0.8132611,-13.901733,0.07718721
PO,-0.57144815,-15.876466,-2.0860734
PO,0.92337584,-15.533119,-3.8356276
PO,2.0436356,-13.592266,-0.396129
PO,1.2285411,-14.697585,-3.5090694
PO,2.1246636,-14.037578,-3.852989
PO,0.6674598,-13.796886,-0.83383864
PO,-0.7061082,-12.6679,-1.1216382
PO,-1.8198999,-13.583721,-3.3415115
PO,-0.13456586,-11.872556,-0.4853382
PO,0.28628436,-14.185485,-1.9783529
PO,-0.6076742,-14.282924,-2.9245937
PO,-1.0132983,-13.544961,-2.0903616
PO,-1.9094515,-14.374389,-2.679001
PO,0.23625976,-12.957469,-0.8279538
PO,0.49284917,-13.452107,-1.4513853
PO,-1.4185718,-12.275361,-1.1241913
PO,-0.9862085,-12.84949,-1.2409496
PO,-11.292736,0.23016542,4.4546795
PO,-10.743953,0.33040103,4.456901
PO,-10.901677,0.16831647,4.340802
PO,-10.566436,0.1508649,4.4029884
PO,-10.736031,0.3843002,4.6304994
PO,-10.396413,0.10968472,5.048558
PO,-10.286886,0.14044647,4.7725377
PO,-10.655101,0.4831285,4.408732
PO,-10.596386,0.32158598,4.28153
PO,-10.385044,0.23779026,4.3754272
PO,-10.587369,0.8904303,5.2391415
PO,-10.847959,1.3249625,4.299635
PO,-11.056738,0.032288276,4.8326516
PO,-10.678057,0.7428242,4.6060724
PO,-10.849544,0.577399,4.6846633
PO,-11.1119,0.1687322,4.9388566
PO,-10.896973,0.6682879,4.8444877
PO,-10.46347,-0.0729741,4.709995
PO,-10.491131,0.34576976,4.5272026
PO,-10.803956,0.15734097,4.6358004
PO,0.5126859,-13.4482565,-3.7946706
PO,-0.44345033,-13.336814,-3.5974002
PO,0.5965608,-12.943056,-1.9776567
PO,-0.25435373,-13.581015,-2.174473
PO,0.019775033,-12.4752445,-2.445912
PO,0.35545814,-11.825923,-1.6276615
PO,-0.62043405,-12.9772415,-3.9099007
