Oil_Type,Feature 1,Feature 2,Feature 3
PO,0.67138237,12.174674,-1.9915714
PO,1.3407072,9.443878,-3.78024
PO,-0.32839158,11.20553,-3.299569
PO,-0.066817366,11.603993,-3.182767
PO,0.9945287,11.445608,-3.2309482
PO,1.5767663,10.656856,-3.3539932
PO,-0.023578249,11.561624,-2.874384
PO,0.009698113,11.695599,-1.9354908
PO,0.047190752,10.929258,-3.3174648
PO,-0.034818944,11.253463,-3.1507895
PO,1.2150254,11.419534,-2.7133322
PO,1.5112525,10.938255,-4.055489
PO,-1.2484064,9.653816,-2.7521136
PO,0.5235909,10.974634,-3.1940348
PO,0.529878,10.786518,-3.3016205
PO,1.50995,8.817868,-4.046297
PO,0.09192782,9.192059,-2.5356266
PO,1.434684,10.446145,-3.1762013
PO,1.2717121,9.531302,-2.2267363
PO,1.5105705,12.608384,-1.8831491
PO,0.62623423,9.574274,-3.4591045
PO,1.4919612,10.461826,-3.93546
PO,1.1397057,9.833553,-2.6543949
PO,0.7437792,11.292124,-2.4172652
PO,0.5800746,10.294379,-3.3886077
PO,2.2730284,12.057814,-2.8976898
PO,1.0768081,10.471191,-2.6167274
PO,1.5738515,10.678978,-2.5150437
PO,0.14278233,10.833087,-2.1685624
PO,0.20346956,11.229801,-2.9276938
PO,-0.821809,12.01744,-2.0577598
PO,1.4874747,11.674246,-2.9283068
PO,0.29872048,9.774506,-2.9165013
PO,0.6806744,10.699046,-2.6052592
PO,0.22839226,10.927366,-2.9364662
PO,3.7869692,10.163621,-4.682536
PO,2.268556,8.341738,-3.360795
PO,3.147267,9.999335,-1.8723027
PO,2.2553272,12.2746315,-0.7573244
PO,2.1273777,12.248081,-2.4829414
PO,3.1310513,11.935128,-1.9199572
PO,2.3618565,10.653885,-2.009672
PO,-2.0429497,11.160893,-2.2134101
PO,-0.6117554,10.295098,-2.658172
PO,0.35029387,10.463734,-1.1967622
PO,3.6151435,10.96384,-2.1610959
PO,0.6655342,9.9074,-3.2751572
PO,1.4058839,11.4804,-1.1185839
PO,-0.480171,10.546377,-2.383479
PO,0.22895361,8.854402,-3.0493991
PO,3.1488526,10.928725,-2.855784
PO,0.1417776,8.658731,-1.9923116
PO,1.6371019,9.396133,-2.7339747
PO,0.27981436,8.542161,-4.0959086
PO,-0.3381876,11.481772,-2.4167562
PO,3.2195573,9.157417,-3.5593863
PO,3.1066625,10.416768,-1.1500418
PO,-0.012851514,11.344637,-1.3743123
PO,1.4249086,11.577486,-1.7777954
PO,0.55989933,10.904231,-1.1215894
PO,2.202774,10.589871,-2.3740184
PO,-1.1513267,10.270286,-1.6704717
PO,1.0130616,9.528299,-1.7277755
PO,-0.36205208,9.843719,-3.9460866
PO,-0.04431247,9.136868,-1.8051536
PO,2.023964,9.419355,-2.2108855
PO,0.34519568,10.283904,-2.6617806
PO,2.351046,11.233152,-1.1027763
PO,-0.11929951,10.154749,-2.0781472
PO,1.4841696,8.634723,-3.100151
PO,2.706051,9.895613,-3.405513
PO,1.7840247,11.111647,-1.9025463
PO,0.67208844,10.820015,-1.7984754
PO,-0.033232637,10.57421,-2.7794292
PO,1.0493451,10.745052,-1.9521675
PO,-0.7156688,13.760495,-2.4168282
PO,0.073202804,12.38522,-0.96264505
PO,-0.077217594,12.72796,-1.8666542
PO,1.8565137,11.9743595,-3.652585
PO,1.3623073,9.884117,-3.8537703
PO,-1.2360238,12.445938,-2.9387572
PO,0.59013826,12.940161,-3.106288
PO,1.4943122,12.017034,-3.964394
PO,0.28959638,12.0689745,-2.4374468
PO,1.966463,11.89042,-4.0445843
PO,2.9639344,11.325766,-3.4855785
PO,1.016535,11.909092,-4.1208563
PO,0.8255024,12.378111,-2.9122362
PO,0.10059958,11.185568,-2.8555853
PO,-0.20153154,12.101416,-3.9805655
PO,1.8164355,9.8155155,-0.49253735
PO,1.6674892,10.256429,-1.5359316
PO,1.3513516,10.997425,-2.7457209
PO,1.4919026,12.855462,-1.6986676
PO,1.162387,11.794269,-3.3781948
GNO,8.810745,0.94047713,0.7498825
GNO,7.237925,0.8158555,2.0332532
GNO,7.4011087,1.236246,2.951833
GNO,7.514666,0.5431803,0.65428865
GNO,8.454797,0.21439876,3.0918362
GNO,6.9306364,0.17562008,1.721785
GNO,7.816986,1.0171106,1.6135453
GNO,7.4266963,2.3928778,0.60422415
GNO,8.216698,-0.05598824,2.0364275
GNO,8.0506315,0.55897593,2.5266647
GNO,8.383773,0.55813587,2.5207412
GNO,8.2225685,0.61470747,2.0562005
GNO,8.165316,0.2791286,1.8662863
GNO,7.9730177,0.9513318,2.5108187
GNO,6.89192,0.34621778,1.2483625
GNO,7.485813,0.6413291,2.9931698
GNO,7.5429916,1.0630101,1.9049513
GNO,8.117692,0.4008005,2.1930149
GNO,7.8102994,0.28067324,2.1639287
GNO,6.6777425,1.2571841,2.0881724
GNO,8.828661,0.66570586,3.1564064
GNO,8.578566,-0.095444135,3.2510664
GNO,7.552069,0.93101925,3.3073053
GNO,9.313233,-0.426693,2.395934
GNO,5.7051725,-0.48903835,3.0934546
GNO,6.2397404,-0.9697963,3.1089318
GNO,5.059388,-1.4298434,2.307572
GNO,5.5523734,-1.4104426,2.6436212
GNO,5.4472785,-0.78093404,2.9614491
GNO,5.554801,-0.5257724,3.0533216
GNO,5.514694,-1.9596792,2.569139
GNO,5.75744,-0.8595444,2.3924038
GNO,5.406111,-1.0959718,2.4189637
GNO,5.936584,-0.8718372,2.5274603
GNO,5.021725,-0.33977613,2.756944
GNO,5.5876937,-0.8145904,2.1455057
GNO,5.612468,-1.4485137,2.1767197
GNO,5.6654415,-0.9103599,2.6347365
GNO,5.464132,-0.8622653,2.346597
GNO,5.8561077,-1.4729505,2.71686
GNO,8.847321,-0.6356355,3.2991626
GNO,7.524634,2.0523603,1.750468
GNO,8.76623,0.3851131,1.2865945
GNO,9.441452,1.3702127,2.0779438
GNO,7.9918394,-0.6274481,2.2392886
GNO,8.399278,2.1055934,1.879808
GNO,8.944107,1.2270758,1.0154574
GNO,8.259042,-1.6001049,2.344342
GNO,9.660164,1.9658054,0.32872868
GNO,7.894277,1.7488809,-0.48506606
GNO,8.211087,1.7892079,2.972242
GNO,4.620943,-0.33762655,1.263404
GNO,6.579609,-0.036734022,1.070414
GNO,7.0249405,-1.1650116,1.0238737
GNO,7.199381,-1.0245563,3.5870807
GNO,7.138994,0.56309944,2.2601762
GNO,5.982751,-0.00018891152,3.6250453
GNO,7.0666313,-0.5909117,1.1969203
GNO,7.1926923,-0.59242296,1.499796
GNO,6.971735,-1.5344422,0.5018496
GNO,9.776915,-2.4404416,-1.9156219
GNO,10.077611,-3.5393872,-0.85128665
GNO,7.506079,-0.89164466,-2.3596437
GNO,8.925225,-1.6301111,-2.89674
GNO,9.35172,-1.3564918,-0.9481973
GNO,7.7899623,0.1474463,-3.2310264
GNO,9.061471,-1.1683682,-1.8678428
GNO,9.912553,-1.3260158,-0.8967632
GNO,9.348002,-2.3952487,-0.7525248
GNO,9.512465,-3.2810533,0.5324519
GNO,7.66315,-0.23158808,-2.0138404
GNO,8.738632,-3.7566786,-1.9619495
GNO,9.535915,-2.8645747,-2.9846964
GNO,8.520353,-0.61943936,-2.3220918
GNO,7.824822,-1.2081277,-3.6401653
GNO,7.90774,-4.039601,-2.8525054
GNO,8.509058,-3.160371,-3.0868895
GNO,9.611031,-0.9227969,-2.4502974
GNO,7.817211,0.31663343,-3.3587294
GNO,8.575639,-4.3994484,-0.07652192
GNO,6.971117,-2.8692572,-4.296143
GNO,10.3585,-2.5472503,-2.3604274
GNO,8.968845,-1.5875419,-2.8685167
GNO,10.731619,-1.9285096,1.0031805
GNO,9.216129,-1.444252,-1.8070306
GNO,6.569089,-1.2848941,-3.342784
GNO,11.419684,-0.3414037,-0.50864065
GNO,9.084066,-0.59142184,-3.5182657
GNO,8.969369,-3.2776449,-0.9706585
GNO,9.793579,-3.697454,-2.5565462
GNO,10.750005,-1.7864748,-1.7157727
GNO,10.226782,-0.85366637,-2.6938627
GNO,10.005953,-1.4319683,-1.8828559
GNO,6.1512094,-3.4536088,-1.4152461
GNO,7.914599,-3.195788,-1.5610435
GNO,7.090631,-2.593443,-0.19493483
GNO,8.38837,-2.1533148,-1.3254596
GNO,8.438832,-2.5866842,-1.8576493
GNO,7.7577066,-3.126595,-1.6909872
GNO,4.8669863,-0.26645365,-2.4177697
GNO,9.094401,-2.249954,-1.3345749
GNO,9.615648,0.3442664,-2.7717307
GNO,6.9605007,-4.3541436,-0.8296265
GNO,8.496222,-2.4857583,-1.255135
GNO,7.4347715,-2.9776492,-2.3907602
GNO,7.929516,-1.6950864,-3.3423238
GNO,9.594592,-2.690601,-3.2692456
GNO,8.636589,-2.7897322,-1.1384898
GNO,8.560962,-1.9827884,-2.4306583
GNO,8.323879,-1.792188,-2.365279
GNO,8.487203,-1.8612518,-3.8800673
GNO,8.487669,-3.229281,-2.2939231
GNO,7.958493,-3.946486,-0.53377044
GNO,6.7880254,-3.5926566,-0.36490574
GNO,9.568712,-2.938347,-1.4789954
GNO,7.7840676,-3.3290062,-2.3082974
GNO,7.751318,-3.6473145,-1.2378663
GNO,6.983731,-3.534618,-1.0091356
GNO,7.8373876,-2.3174162,-1.969642
GNO,6.026985,-1.5164841,-1.1563163
GNO,7.041078,-2.921624,-4.061478
GNO,7.1013646,-2.604715,-3.0526807
GNO,6.2016287,-2.6054115,-1.9196043
GNO,4.8845263,-2.57171,-1.5593915
GNO,6.6881995,-1.4382662,-1.7273234
GNO,6.667982,-1.0950452,-1.7836561
GNO,6.7111177,-2.0483549,-2.5157483
GNO,7.2678456,-1.9929609,-1.4031756
GNO,7.443938,-2.1221566,-1.2252634
GNO,7.2637005,-1.979222,-1.4827907
GNO,6.396544,-2.4018838,-0.73895013
GNO,7.0828886,-2.2305694,-1.7718241
GNO,5.716339,-2.2028706,-0.4760198
GNO,7.338129,-1.9548929,-1.3490837
GNO,7.003051,-2.9677382,-2.4423862
GNO,7.2001586,-2.140757,-1.3791642
GNO,6.397262,-3.7847898,-2.590909
GNO,5.6415772,-2.0020654,-2.3246262
GNO,5.935191,-1.3031532,-1.5859454
GNO,7.394127,-2.1268253,-1.4581637
GNO,10.326156,-2.8488624,-1.3964096
GNO,7.99698,-3.2115514,0.93748546
GNO,9.873851,-3.7828636,0.07079926
GNO,9.334759,0.042431496,-2.6605515
GNO,4.8617916,-0.25251073,-2.4174273
GNO,7.33901,-1.8553842,-2.0334558
GNO,7.934588,-2.5171256,0.06278353
GNO,6.690424,-1.37256,-2.766556
GNO,8.09407,-1.0387242,-1.1561471
GNO,6.984291,-0.3931864,-1.3607033
GNO,7.9961505,-1.7566988,-1.6336609
GNO,7.733952,-1.7874981,-0.1344968
GNO,7.6268253,-2.2511725,-0.54288983
GNO,6.6097193,-1.3911949,-1.1268376
GNO,7.8197136,-0.80589926,-1.3354995
GNO,7.6104884,-1.9917774,-0.54071283
GNO,7.1786046,-1.3618853,-0.49368665
GNO,7.568892,-1.1708528,-0.841095
GNO,8.969603,-4.791718,-1.3343103
GNO,7.9612484,-2.6844,-0.4878735
GNO,8.383986,-0.49858806,-0.64453346
GNO,10.67844,-1.7840028,-0.26675597
GNO,8.229634,-3.3556764,1.1405386
GNO,10.160614,-1.5511818,0.81953543
GNO,9.672094,-1.9230427,0.14529552
GNO,9.529624,-2.6343036,1.0034816
GNO,10.233219,-1.7561574,-0.26506132
GNO,9.488637,-0.53750956,-0.72005785
GNO,9.861334,0.7705245,-0.87358356
GNO,8.031508,-0.5956496,-0.2408934
GNO,9.819928,-0.24466157,0.2712052
GNO,8.390862,-2.5720181,0.16370738
GNO,8.630913,0.3482139,-0.6690446
GNO,11.202504,-0.41882825,-0.48310405
GNO,8.539279,-1.81247,0.30756778
GNO,9.315404,-0.78694606,0.17666772
GNO,9.126995,-1.4259392,1.2139081
GNO,8.912074,-0.84531265,-0.051449757
GNO,8.871259,-0.06275986,-1.1570879
GNO,9.170715,-0.69885993,0.13570164
GNO,7.092527,0.50537974,-0.961769
GNO,4.933807,-3.8388286,1.279065
GNO,5.770309,-1.1476604,0.92804027
GNO,7.8454876,-1.0922971,0.8634895
GNO,6.8522735,-0.7138999,0.42059955
GNO,5.6568756,-0.2932294,1.3948925
GNO,6.2748594,-1.3431244,1.7491422
GNO,6.5198255,0.30484748,0.5555125
GNO,7.066647,-0.81940323,1.5130053
GNO,7.476508,0.34897846,0.23880704
GNO,8.604807,1.285899,0.77695054
GNO,7.0757627,-1.2044543,1.8596079
GNO,7.641335,-1.6548477,1.0052242
GNO,6.103429,1.3526402,1.2157515
GNO,10.08587,0.46832561,1.5527996
GNO,6.1767735,0.548377,0.023645055
GNO,8.549674,0.8479167,-0.45345977
GNO,9.266004,-0.29919955,0.42490882
GNO,7.2608123,1.5138519,0.22932409
GNO,8.328442,-0.5912758,0.7669808
SOYO,2.4007735,-4.1107564,-5.9289613
SOYO,3.0782676,-5.607801,-6.448507
SOYO,2.8201349,-5.9782615,-7.5317807
SOYO,2.0811584,-5.028014,-4.8818545
SOYO,3.1865199,-5.0356827,-5.4422483
SOYO,3.827218,-5.218877,-5.324447
SOYO,3.208341,-5.903501,-6.5359755
SOYO,3.1805687,-4.888753,-6.92122
SOYO,3.6739533,-6.7603164,-7.0629168
