Feature 1,Feature 2,Oil_Type
0.89836955,-24.073381,PO
-0.77367514,-23.857737,PO
-0.18029493,-27.987808,PO
-0.9874603,-23.452972,PO
1.1503191,-25.218052,PO
0.23489568,-26.347992,PO
-0.28778726,-24.551014,PO
2.1200988,-23.137897,PO
0.031957854,-23.940357,PO
0.7019236,-24.595291,PO
-1.2800937,-23.405731,PO
-0.80229425,-23.809757,PO
-29.549452,-6.2325134,PO
-29.160355,-5.915462,PO
-29.3128,-5.958893,PO
-29.056458,-5.7502165,PO
-29.10899,-6.013056,PO
-29.564972,-5.9035697,PO
-29.349573,-5.6716123,PO
-29.016113,-5.8975887,PO
-29.08841,-5.736341,PO
-29.165663,-5.6453032,PO
-28.732605,-6.587797,PO
-28.261404,-5.8400426,PO
-29.351072,-6.289143,PO
-28.840017,-6.044436,PO
-28.990675,-6.12946,PO
-29.346342,-6.3635116,PO
-29.005241,-6.2969737,PO
-29.03743,-5.6819377,PO
-29.067259,-5.813644,PO
-29.151794,-6.035464,PO
-0.4980589,-26.619768,PO
-0.8516344,-26.309895,PO
-0.46819788,-25.151169,PO
-0.33162022,-25.54307,PO
-1.2281824,-25.283066,PO
-1.6151147,-24.65568,PO
-1.3369502,-26.900013,PO
-1.4786558,-24.302048,PO
-0.8948985,-24.534943,PO
-0.9021108,-25.18119,PO
-0.81540525,-26.242775,PO
-1.1553031,-24.53884,PO
-1.342325,-24.707228,PO
-1.2023818,-25.052309,PO
-1.1351283,-24.800814,PO
-0.8604662,-24.61426,PO
-0.7919496,-27.02044,PO
-1.7137233,-24.354017,PO
-1.1209303,-25.332655,PO
-1.1133608,-25.65804,PO
-2.2256434,-28.384758,PO
-2.2900617,-26.820282,PO
-1.4140546,-26.240408,PO
-2.6213198,-27.234455,PO
-1.5311297,-25.613775,PO
-2.0848563,-27.06439,PO
-1.5556798,-27.228668,PO
-2.2987313,-26.218485,PO
-1.9531865,-25.069998,PO
-1.8188275,-26.574642,PO
-0.85849655,-27.288656,PO
-1.8202449,-25.998808,PO
-2.3630948,-25.762915,PO
-2.1700172,-25.544899,PO
-2.0256379,-25.149275,PO
-1.8357048,-26.490189,PO
-2.0310283,-24.30524,PO
-2.1222372,-26.080215,PO
-2.0601728,-25.55153,PO
-2.2347417,-25.393738,PO
-0.14971675,-29.044876,PO
-3.0129204,-28.59671,PO
-4.336657,-27.107893,PO
-4.4096107,-24.7344,PO
-1.1396295,-27.449656,PO
-4.458937,-24.368534,PO
-3.899417,-26.261179,PO
-3.4040794,-23.368017,PO
-2.9506705,-25.269613,PO
-3.2307723,-25.377562,PO
-4.646569,-26.59427,PO
-2.691091,-26.577072,PO
-3.1096575,-24.3946,PO
-2.70139,-24.989681,PO
-2.1060007,-27.527683,PO
-3.699038,-26.57309,PO
-3.5701926,-27.554453,PO
