Feature 1,Feature 2,Oil_Type
0.47330135,-6.6729035,GNO
0.8568132,-6.992184,GNO
1.0762916,-5.810868,GNO
2.5986607,-6.1461782,GNO
1.2742734,-8.28154,GNO
1.2242839,-6.946063,GNO
2.078047,-6.987032,GNO
3.570425,-7.659829,GNO
2.2775743,-6.148178,GNO
2.3729517,-6.2143908,GNO
1.8512809,-6.655324,GNO
1.8511943,-5.8667164,GNO
1.6882721,-5.701484,GNO
1.7507287,-5.94443,GNO
2.7419624,-6.2507133,GNO
1.7393985,-6.148992,GNO
3.5264661,-6.534218,GNO
1.8352532,-5.745649,GNO
1.3303887,-6.7161245,GNO
1.7756176,-5.9213147,GNO
2.3882086,-7.9811015,GNO
2.8288372,-7.206314,GNO
2.8482504,-6.4855213,GNO
1.6627656,-5.869297,GNO
-0.44806522,-4.1073074,GNO
0.2830472,-3.2371264,GNO
-1.1026101,-2.7759027,GNO
-1.9501884,-4.295993,GNO
-0.07588708,-9.20967,GNO
1.6323551,-5.974739,GNO
2.0527453,-4.6777315,GNO
1.6087279,-6.7755275,GNO
1.5825157,-4.749163,GNO
2.9256227,-5.5342455,GNO
1.197738,-5.5210223,GNO
2.364766,-4.7017307,GNO
1.7793095,-5.155002,GNO
2.4873698,-5.8296523,GNO
1.7924352,-4.850009,GNO
2.0342336,-5.108115,GNO
2.650504,-5.024538,GNO
2.2927618,-5.092532,GNO
2.4252927,-8.924777,GNO
1.7651955,-5.0102353,GNO
1.7794608,-3.7517872,GNO
0.55913734,-2.5148118,GNO
0.09617645,-3.0802875,GNO
0.7153995,-2.322042,GNO
0.85348094,-3.3425376,GNO
1.1361241,-2.1774282,GNO
0.6928339,-2.9916322,GNO
1.4994882,-3.0594556,GNO
1.6400515,-1.8742098,GNO
2.6403005,-3.9308147,GNO
2.3567467,-2.862696,GNO
1.969647,-4.1691504,GNO
2.1224587,-2.3689065,GNO
0.3340794,-1.0530246,GNO
1.4256603,-3.726501,GNO
1.9747287,-2.9730294,GNO
2.4041655,-3.520637,GNO
1.8689333,-3.1015651,GNO
1.5477433,-3.07662,GNO
2.1253102,-3.0924938,GNO
3.8907301,-5.334301,GNO
5.3926897,-6.2782845,GNO
5.156928,-4.6528106,GNO
3.4552445,-3.6121244,GNO
4.206392,-4.4650164,GNO
5.341034,-4.4910274,GNO
5.630425,-3.957483,GNO
3.7264805,-3.1730072,GNO
4.6812096,-3.792895,GNO
3.9487185,-3.1108572,GNO
3.367016,-2.181231,GNO
4.9149704,-3.987931,GNO
3.4001746,-3.8496706,GNO
3.8062818,-4.019037,GNO
2.8275414,-0.7810895,GNO
3.2144003,-3.1034772,GNO
2.4811654,-1.9698813,GNO
2.5378175,-2.7924511,GNO
3.4306657,-1.1374568,GNO
3.184485,-3.5403192,GNO
-2.9328616,-16.72817,SOYO
-2.4499254,-17.623901,SOYO
-3.3240983,-18.14086,SOYO
-0.68406296,-17.302397,SOYO
-1.5561947,-16.931847,SOYO
-1.5793616,-16.473585,SOYO
-2.467444,-17.598846,SOYO
-3.072961,-17.345074,SOYO
-2.82631,-18.324234,SOYO
-2.8378348,-18.87021,SOYO
-2.3503876,-16.277866,SOYO
-1.0673665,-17.158226,SOYO
-2.7554765,-18.826334,SOYO
-2.143059,-18.366049,SOYO
-2.5272257,-17.39039,SOYO
-1.8774997,-17.011114,SOYO
-1.8400859,-17.072285,SOYO
-2.8579059,-18.949831,SOYO
-2.4638796,-18.534746,SOYO
-1.8399302,-17.872778,SOYO
-1.1820419,-15.899728,SOYO
0.2528534,-19.14134,SOYO
4.3385944,-12.675283,SOYO
-0.9361406,-19.20631,SOYO
-0.669497,-20.472214,SOYO
-1.5679712,-18.849422,SOYO
-1.7069387,-17.225836,SOYO
-1.2813009,-17.106321,SOYO
0.12158812,-19.446987,SOYO
-1.4358261,-17.494131,SOYO
-0.885154,-18.784489,SOYO
-0.72482795,-17.61059,SOYO
-0.3777304,-18.636435,SOYO
-1.1348314,-17.630789,SOYO
-1.4607698,-17.816738,SOYO
-1.6475794,-18.357828,SOYO
-0.58417445,-20.224012,SOYO
-0.38930646,-17.545555,SOYO
-1.5083749,-18.589952,SOYO
-1.6736023,-18.391651,SOYO
-2.8197904,-20.516685,SOYO
-1.4885763,-20.979143,SOYO
-0.14600931,-19.928936,SOYO
-1.8055174,-19.544212,SOYO
-0.870542,-20.438992,SOYO
-0.9133664,-19.507763,SOYO
-0.263794,-18.289022,SOYO
-2.4505656,-20.242764,SOYO
-1.8719853,-19.628214,SOYO
-2.2738564,-19.781973,SOYO
0.14280345,-20.53601,SOYO
-1.4093015,-18.800976,SOYO
-1.9941847,-19.867958,SOYO
-1.677694,-20.13247,SOYO
-1.7997608,-20.286688,SOYO
-1.5723976,-18.427813,SOYO
-1.0488936,-18.359814,SOYO
-1.9743087,-19.80341,SOYO
-2.02524,-19.24966,SOYO
-1.8826792,-19.086365,SOYO
-0.2527235,-15.483511,SOYO
-0.5375535,-17.383696,SOYO
-0.2414027,-17.423067,SOYO
-0.88920754,-18.007736,SOYO
-1.2161891,-18.223299,SOYO
0.34471813,-18.681269,SOYO
0.010009452,-18.360416,SOYO
0.12563267,-17.857708,SOYO
-0.96090674,-18.077902,SOYO
-1.6854739,-18.070232,SOYO
-0.3727282,-18.101177,SOYO
0.016035778,-18.069653,SOYO
-1.2111528,-18.15243,SOYO
-0.05112059,-18.459377,SOYO
-0.3452567,-19.142986,SOYO
-0.242152,-19.56733,SOYO
-0.6078624,-18.744963,SOYO
