dataset,model,wavenumber,selection_count,selection_rate,mean_importance,std_importance
chips,baseline,1243.367,2,0.2,0.0037792552056664956,0.008294106898728218
chips,baseline,947.3477,2,0.2,0.0037577670174652926,0.008422298641898323
chips,baseline,1410.18,2,0.2,0.0035367568862170206,0.0099460054708457
chips,baseline,1252.045,2,0.2,0.0035293358263023566,0.009948528359886126
chips,baseline,2612.579,2,0.2,0.0034595392721686715,0.007792140033011471
chips,baseline,1053.413,2,0.2,0.0033366627022070245,0.008695075074386426
chips,baseline,2725.394,2,0.2,0.003248170817295242,0.009139230062249556
chips,baseline,935.7769,2,0.2,0.002869545473992913,0.006345969193601304
chips,baseline,954.0974,2,0.2,0.002865974769861326,0.0066627585212436415
chips,baseline,785.3564,2,0.2,0.0026882763975155273,0.006556391610363215
chips,baseline,1859.512,2,0.2,0.0025646868186524514,0.005535923128696647
chips,baseline,1620.383,2,0.2,0.0025272155970471897,0.005328470653301514
chips,baseline,1241.439,2,0.2,0.0024718968896600474,0.006206527870473022
chips,baseline,2915.348,2,0.2,0.002438826725511508,0.005404970875482243
chips,baseline,892.3865,2,0.2,0.0024070544994458038,0.005952491430479194
chips,baseline,1746.697,2,0.2,0.0022552910052910037,0.006257796725742262
chips,baseline,2728.287,2,0.2,0.0022529970544027424,0.005567800261959316
chips,baseline,2744.679,2,0.2,0.0021132609224579018,0.006017958446167341
chips,baseline,2965.488,2,0.2,0.0021012849584278155,0.004462023510749406
chips,baseline,1130.552,2,0.2,0.0020294006164419892,0.004452730004258796
chips,baseline,584.7959,2,0.2,0.0019772514268865437,0.004184676548635583
chips,baseline,637.8289,2,0.2,0.0018709299959299957,0.004770334690964936
chips,baseline,1096.804,2,0.2,0.0018521552351827577,0.00405448922648326
chips,baseline,2672.361,2,0.2,0.0018027025625064843,0.004550672803725457
chips,baseline,940.5981,2,0.2,0.0017720279233437123,0.0038021677059009553
chips,baseline,1472.855,2,0.2,0.0017552051253031636,0.0038665762064277113
chips,baseline,1693.664,2,0.2,0.001754692617787855,0.004183307553622506
chips,baseline,2656.933,2,0.2,0.0016974248745082077,0.004515395109912337
chips,baseline,880.8157,2,0.2,0.0016064247394170672,0.0039538231429937865
chips,baseline,1240.475,2,0.2,0.0015849395313681028,0.004166281751010165
chips,baseline,1666.666,2,0.2,0.0015498236331569673,0.003783133446932653
chips,baseline,1203.834,2,0.2,0.0015447845804988666,0.0035868735150210787
chips,baseline,1264.58,2,0.2,0.0015435077935077948,0.004230060129436519
chips,baseline,1118.017,2,0.2,0.0015246041436517642,0.003837730073870517
chips,baseline,1481.533,2,0.2,0.0014864203257060405,0.0037212662354703372
chips,baseline,1702.342,2,0.2,0.0014729298871422923,0.0031063695309457937
chips,baseline,847.0674,2,0.2,0.0014626844890002788,0.0030846577627396776
chips,baseline,784.3923,2,0.2,0.0014431517556517555,0.003916452789229491
chips,baseline,1672.451,2,0.2,0.001378911779765669,0.00371604017190486
chips,baseline,1380.288,2,0.2,0.0013511927105677105,0.003149437415548585
chips,baseline,1398.609,2,0.2,0.0012960668533992625,0.0027783425028506067
chips,baseline,510.55,2,0.2,0.001286533131771227,0.0027178541782427756
chips,baseline,1266.509,2,0.2,0.0012849584278155704,0.0032422691745317023
chips,baseline,980.1316,2,0.2,0.0012112622826908539,0.0026406458495218436
chips,baseline,963.7397,2,0.2,0.0012043128654970778,0.0031730913724834697
chips,baseline,1506.603,2,0.2,0.001197284469343293,0.0031513020300264
chips,baseline,1537.458,2,0.2,0.0011425082853654283,0.002561004938027142
chips,baseline,1355.218,2,0.2,0.0011291486291486292,0.002650201891308586
chips,baseline,2631.863,2,0.2,0.001118415857221827,0.0024877364971915244
chips,baseline,2955.846,2,0.2,0.0010978835978835981,0.0026747719476368998
chips,baseline,1341.719,2,0.2,0.0010918209876543208,0.002656556636932013
chips,baseline,1397.645,2,0.2,0.0010875955320399768,0.0026438691148464276
