dataset,model,split,true_label,predicted_label,count
chips,post_pruned,test,SOYO C,GNO C,7
chips,post_pruned,test,SOYO C,PO C,8
chips,post_pruned,test,SOYO C,SO C,5
chips,post_pruned,test,SOYO C,SOYO C,34
chips,post_pruned,test,SOYO C,VO C,0
chips,post_pruned,test,VO C,GNO C,0
chips,post_pruned,test,VO C,PO C,11
chips,post_pruned,test,VO C,SO C,0
chips,post_pruned,test,VO C,SOYO C,1
chips,post_pruned,test,VO C,VO C,42
chips_paper_subtracted,baseline,train,GNO,GNO,126
chips_paper_subtracted,baseline,train,GNO,PO,0
chips_paper_subtracted,baseline,train,GNO,SO,0
chips_paper_subtracted,baseline,train,GNO,SOYO,0
chips_paper_subtracted,baseline,train,GNO,VO,0
chips_paper_subtracted,baseline,train,PO,GNO,0
chips_paper_subtracted,baseline,train,PO,PO,126
chips_paper_subtracted,baseline,train,PO,SO,0
chips_paper_subtracted,baseline,train,PO,SOYO,0
chips_paper_subtracted,baseline,train,PO,VO,0
chips_paper_subtracted,baseline,train,SO,GNO,0
chips_paper_subtracted,baseline,train,SO,PO,0
chips_paper_subtracted,baseline,train,SO,SO,126
chips_paper_subtracted,baseline,train,SO,SOYO,0
chips_paper_subtracted,baseline,train,SO,VO,0
chips_paper_subtracted,baseline,train,SOYO,GNO,0
chips_paper_subtracted,baseline,train,SOYO,PO,0
chips_paper_subtracted,baseline,train,SOYO,SO,0
chips_paper_subtracted,baseline,train,SOYO,SOYO,126
chips_paper_subtracted,baseline,train,SOYO,VO,0
chips_paper_subtracted,baseline,train,VO,GNO,0
chips_paper_subtracted,baseline,train,VO,PO,0
chips_paper_subtracted,baseline,train,VO,SO,0
chips_paper_subtracted,baseline,train,VO,SOYO,0
chips_paper_subtracted,baseline,train,VO,VO,126
chips_paper_subtracted,baseline,test,GNO,GNO,47
chips_paper_subtracted,baseline,test,GNO,PO,3
chips_paper_subtracted,baseline,test,GNO,SO,3
chips_paper_subtracted,baseline,test,GNO,SOYO,1
chips_paper_subtracted,baseline,test,GNO,VO,0
chips_paper_subtracted,baseline,test,PO,GNO,4
chips_paper_subtracted,baseline,test,PO,PO,47
chips_paper_subtracted,baseline,test,PO,SO,0
chips_paper_subtracted,baseline,test,PO,SOYO,0
chips_paper_subtracted,baseline,test,PO,VO,3
